"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",25,24,49,"Cr ","  +n",-45330.5,2.4,8613.24,0.05,"B+",2626.5,2.6,48.9513357,2.6,"42.3 m","5/2-",-7.7145,1.6044000000000014,2.6264000000000016,-8.749716000000005
" ",24,25,49,"Mn "," p4n",-37616.0,24.0,8439.8,0.5,"B+",7715.0,24.0,48.959618,26.0,"382 ms","5/2-",-13.036,6.6925,7.7145,-8.160916
" ",23,26,49,"Fe ","   x",-24580.0,150.0,8158.0,3.0,"B+",13030.0,150.0,48.97361,160.0,"75 ms","(7/2-)",-15.0,12.014,13.036,-8.034916
" ",22,27,49,"Co ","   x",-9580.0,260.0,7836.0,5.0,"B+",15010.0,300.0,48.98972,280.0,"35 ns","",-18.58,13.978,15.0,-6.894916
" ",21,28,49,"Ni ","   x",9000.0,400.0,7441.0,8.0,"B+",18570.0,480.0,49.00966,430.0,"350 ns","",0.0,17.558,18.58,-7.004916000000001
"0",33,17,50,"Cl ","   x",7300.0,900.0,7659.0,18.0,"B-",21810.0,1140.0,50.00784,970.0,"None","None",21.8,0.0,0.0,-20.624916000000002
" ",32,18,50,"Ar ","   x",-14500.0,700.0,8080.0,14.0,"B-",10850.0,750.0,49.98443,750.0,"170 ns","(0+)",10.85,-22.822,-21.8,-17.624916000000002
" ",31,19,50,"K  ","   +",-25350.0,280.0,8281.0,6.0,"B-",14220.0,280.0,49.97278,300.0,"472 ms","(0-,1,2-)",14.221,-11.872,-10.85,-13.064916
" ",30,20,50,"Ca "," -nn",-39571.0,9.0,8549.8,0.19,"B-",4966.0,17.0,49.957519,10.0,"13.9 s","0+",4.966,-15.243,-14.221,-12.275916
" ",29,21,50,"Sc "," -pn",-44537.0,16.0,8633.5,0.3,"B-",6890.0,16.0,49.952188,17.0,"0.35 s","2+,3+",6.889699999999997,-5.988,-4.966,-11.543916000000001
" ",28,22,50,"Ti ","    ",-51426.7,0.8,8755.618,0.016,"B-",-2205.1,1.0,49.944791200000004,0.9,"stable","0+",-2.2050999999999985,-7.911699999999997,-6.889699999999997,-10.716516
" ",27,23,50,"V  ","  +n",-49221.6,1.0,8695.869,0.02,"B-",1037.9,0.3,49.9471585,1.1,"1.4e+17 y","6+",1.0379000000000014,1.1830999999999985,2.2050999999999985,-9.889416
" ",26,24,50,"Cr ","    ",-50259.5,1.0,8700.981,0.02,"  ","*","*",49.9460442,1.1,"1.8e+17 y","0+",-7.632699999999997,-2.0599000000000016,-1.0379000000000014,-8.561016
" ",25,25,50,"Mn ","    ",-42626.8,1.0,8532.68,0.021,"B+",7632.69,0.23,49.954238200000006,1.1,"283.88 ms","0+",-8.146800000000002,6.610699999999997,7.632699999999997,-7.978716000000003
" ",24,26,50,"Fe ","  4n",-34480.0,60.0,8354.0,1.2,"B+",8150.0,60.0,49.96299,60.0,"150 ms","0+",-17.28,7.124800000000003,8.146800000000002,-7.430916
" ",23,27,50,"Co ","   x",-17200.0,170.0,7993.0,3.0,"B+",17280.0,180.0,49.98154,180.0,"44 ms","(6+)",-13.41,16.258,17.28,-7.254916000000001
" ",22,28,50,"Ni ","   x",-3790.0,260.0,7709.0,5.0,"B+",13400.0,310.0,49.99593,280.0,"300 ns","",0.0,12.388,13.41,-6.974916
"0",34,17,51,"Cl ","   x",13500.0,1000.0,7546.0,20.0,"B-",21290.0,1220.0,51.01449,1070.0,"200 ns","(3/2+)",21.3,0.0,0.0,0.0
" ",33,18,51,"Ar ","   x",-7800.0,700.0,7948.0,14.0,"B-",14210.0,860.0,50.99163,750.0,"unknown","",14.2,-22.322,-21.3,-18.224916
" ",32,19,51,"K  ","   x",-22000.0,500.0,8211.0,10.0,"B-",13860.0,510.0,50.97638,540.0,"365 ms","(1/2+,3/2+)",13.86,-15.222,-14.2,-13.904916000000002
" ",31,20,51,"Ca "," -3n",-35860.0,90.0,8467.7,1.8,"B-",7350.0,100.0,50.9615,100.0,"10.0 s","(3/2-)",7.358,-14.882,-13.86,-12.374916
" ",30,21,51,"Sc ","-p2n",-43218.0,20.0,8596.6,0.4,"B-",6510.0,20.0,50.953603,22.0,"12.4 s","(7/2)-",6.509800000000003,-8.38,-7.358,-9.946916000000002
" ",29,22,51,"Ti ","  -n",-49727.8,1.0,8708.89,0.019,"B-",2473.5,1.1,50.946615,1.0,"5.76 m","3/2-",2.4735999999999985,-7.531800000000003,-6.509800000000003,-9.812616000000006
" ",28,23,51,"V  ","    ",-52201.4,1.0,8742.051,0.02,"  ","*","*",50.9439595,1.1,"stable","7/2-",-0.7525999999999985,-3.4955999999999987,-2.4735999999999985,-10.294216000000004
" ",27,24,51,"Cr ","    ",-51448.8,1.0,8711.954,0.02,"B+",752.58,0.24,50.944767399999996,1.1,"27.7025 d","7/2-",-3.2075,-0.26940000000000147,0.7525999999999985,-8.941316000000002
" ",26,25,51,"Mn ","    ",-48241.3,1.0,8633.723,0.02,"B+",3207.5,0.4,50.9482108,1.1,"46.2 m","5/2-",-8.019300000000003,2.1855,3.2075,-8.664116000000005
" ",25,26,51,"Fe "," +3n",-40222.0,15.0,8461.15,0.29,"B+",8019.0,15.0,50.95682,16.0,"305   ms","5/2-",-12.952,6.997300000000003,8.019300000000003,-8.088916
" ",24,27,51,"Co ","   x",-27270.0,150.0,8192.0,3.0,"B+",12950.0,150.0,50.97072,160.0,"200 ns","(7/2-)",-15.83,11.93,12.952,-7.434916
" ",23,28,51,"Ni ","   x",-11440.0,260.0,7866.0,5.0,"B+",15840.0,300.0,50.98772,280.0,"200 ns","(7/2-)",0.0,14.808,15.83,-7.244916
"0",34,18,52,"Ar ","   x",-3000.0,900.0,7858.0,17.0,"B-",13200.0,1140.0,51.99678,970.0,"10 ms","0+",13.2,0.0,0.0,-18.624916000000002
" ",33,19,52,"K  ","   x",-16200.0,700.0,8097.0,13.0,"B-",16310.0,990.0,51.98261,750.0,"105 ms","",16.31,-14.222,-13.2,-13.924916000000001
" ",32,20,52,"Ca ","   x",-32510.0,700.0,8396.0,13.0,"B-",7850.0,720.0,51.9651,750.0,"4.6 s","0+",7.85,-17.332,-16.31,-11.214916
" ",31,21,52,"Sc ","   x",-40360.0,190.0,8531.0,4.0,"B-",9110.0,190.0,51.95668,210.0,"8.2 s","3(+)",9.105,-8.872,-7.85,-10.660916
" ",30,22,52,"Ti "," -nn",-49465.0,7.0,8691.57,0.14,"B-",1976.0,7.0,51.946897,8.0,"1.7 m","0+",1.9763000000000028,-10.127,-9.105,-7.675916
" ",29,23,52,"V  ","  -n",-51441.3,1.0,8714.535,0.019,"B-",3975.6,1.0,51.9447755,1.1,"3.75 m","3+",3.9755999999999987,-2.998300000000003,-1.9763000000000028,-9.370216000000005
" ",28,24,52,"Cr ","    ",-55416.9,0.8,8775.944,0.015,"  ","*","*",51.9405075,0.8,"stable","0+",-4.7115,-4.9975999999999985,-3.9755999999999987,-9.354116000000005
" ",27,25,52,"Mn "," +pn",-50705.4,2.0,8670.29,0.04,"B+",4711.5,1.9,51.9455655,2.1,"5.591 d","6+",-2.3734000000000015,3.6895,4.7115,-8.654916000000002
" ",26,26,52,"Fe ","   -",-48332.0,7.0,8609.6,0.13,"B+",2374.0,6.0,51.948114,7.0,"8.275 h","0+",-14.412,1.3514000000000015,2.3734000000000015,-7.937916
" ",25,27,52,"Co ","   x",-33920.0,70.0,8317.0,1.0,"B+",14420.0,70.0,51.96359,70.0,"115 ms","(6)+",-11.27,13.39,14.412,-7.024916
" ",24,28,52,"Ni ","   x",-22650.0,80.0,8086.0,2.0,"B+",11260.0,110.0,51.97568,90.0,"38 ms","0+",-20.02,10.248,11.27,-6.914916
" ",23,29,52,"Cu ","   x",-2630.0,260.0,7686.0,5.0,"B+",20030.0,270.0,51.99718,280.0,"None","None",0.0,18.998,20.02,-6.694916
"0",35,18,53,"Ar ","   x",4600.0,1000.0,7719.0,19.0,"B-",16600.0,1220.0,53.00494,1070.0,"3 ms","(5/2-)",16.6,0.0,0.0,-19.824916
" ",34,19,53,"K  ","   x",-12000.0,700.0,8017.0,13.0,"B-",15900.0,860.0,52.98712,750.0,"30 ms","(3/2+)",15.9,-17.622,-16.6,-14.724916
" ",33,20,53,"Ca ","   x",-27900.0,500.0,8302.0,9.0,"B-",9730.0,590.0,52.97005,540.0,"90 ms","(3/2-,5/2-)",9.72,-16.922,-15.9,-12.174916000000001
" ",32,21,53,"Sc ","   x",-37620.0,300.0,8471.0,6.0,"B-",9210.0,310.0,52.95961,320.0,"3 s","(7/2-)",9.21,-10.742,-9.72,-9.724916
" ",31,22,53,"Ti ","   +",-46830.0,100.0,8630.1,1.9,"B-",5020.0,100.0,52.94973,110.0,"32.7 s","(3/2)-",5.019,-10.232,-9.21,-7.965916
" ",30,23,53,"V  ","  +p",-51849.0,3.0,8710.09,0.06,"B-",3436.0,3.0,52.944338,3.0,"1.61 m","7/2-",3.435699999999997,-6.041,-5.019,-7.721916
" ",29,24,53,"Cr ","    ",-55284.7,0.8,8760.155,0.015,"  ","*","*",52.9406494,0.8,"stable","3/2-",-0.5967999999999957,-4.457699999999997,-3.435699999999997,-9.150815999999995
" ",28,25,53,"Mn ","    ",-54687.9,0.8,8734.133,0.015,"B+",596.8,0.4,52.9412901,0.9,"3.7e+6 y","7/2-",-3.7425999999999986,-0.42520000000000435,0.5967999999999957,-9.155916000000001
" ",27,26,53,"Fe ","  +n",-50945.3,1.8,8648.76,0.03,"B+",3742.6,1.7,52.945307899999996,1.9,"8.51 m","7/2-",-8.300300000000004,2.7205999999999984,3.7425999999999986,-8.039716000000004
" ",26,27,53,"Co "," p4n",-42645.0,18.0,8477.4,0.3,"B+",8300.0,18.0,52.954219,19.0,"247 ms","(19/2-)",-13.275,7.278300000000003,8.300300000000004,-7.453916
" ",25,28,53,"Ni ","   x",-29370.0,160.0,8212.0,3.0,"B+",13280.0,160.0,52.96847,170.0,"45 ms","(7/2-)",-15.91,12.253,13.275,-7.2149160000000006
" ",24,29,53,"Cu ","   x",-13460.0,260.0,7897.0,5.0,"B+",15910.0,310.0,52.98555,280.0,"300 ns","(3/2-)",0.0,14.888,15.91,-6.304916
"0",35,19,54,"K  ","   x",-5400.0,900.0,7896.0,17.0,"B-",18490.0,1140.0,53.9942,970.0,"10 ms","",18.49,0.0,0.0,-15.124916
" ",34,20,54,"Ca ","   x",-23890.0,700.0,8224.0,13.0,"B-",10330.0,790.0,53.97435,750.0,"None","None",10.33,-19.512,-18.49,-11.814916
" ",33,21,54,"Sc ","   x",-34220.0,370.0,8401.0,7.0,"B-",11380.0,390.0,53.96326,400.0,"7 us","5+",11.37,-11.352,-10.33,-11.294916
" ",32,22,54,"Ti ","   x",-45590.0,120.0,8596.9,2.3,"B-",4300.0,130.0,53.95105,130.0,"1.5 s","0+",4.301,-12.392,-11.37,-8.443916000000002
" ",31,23,54,"V  ","   +",-49891.0,15.0,8662.0,0.28,"B-",7042.0,15.0,53.94644,16.0,"0.9 us","5+",7.0415,-5.323,-4.301,-7.778916000000001
" ",30,24,54,"Cr ","    ",-56932.5,0.8,8777.914,0.014,"B-",-1377.2,1.0,53.938880399999995,0.8,"stable","0+",-1.3770999999999984,-8.0635,-7.0415,-7.930716000000003
" ",29,25,54,"Mn ","  -p",-55555.4,1.3,8737.923,0.023,"B-",697.1,1.1,53.9403589,1.4,"312.12 d","3+",0.6970999999999985,0.35509999999999853,1.3770999999999984,-8.758716000000003
" ",28,26,54,"Fe ","    ",-56252.5,0.7,8736.344,0.013,"  ","*","*",53.9396105,0.7,"stable","0+",-8.243,-1.7190999999999985,-0.6970999999999985,-8.417916000000002
" ",27,27,54,"Co ","    ",-48009.5,0.7,8569.209,0.013,"B+",8242.92,0.2,53.9484596,0.8,"193.23 ms","0+",-8.7995,7.221,8.243,-7.807615999999998
" ",26,28,54,"Ni ","  4n",-39210.0,50.0,8391.8,0.9,"B+",8800.0,50.0,53.95791,50.0,"106 ms","0+",-17.52,7.7775,8.7995,-7.154916
" ",25,29,54,"Cu ","   x",-21690.0,210.0,8053.0,4.0,"B+",17520.0,220.0,53.97671,230.0,"75 ns","(3+)",-15.12,16.498,17.52,-6.914916
" ",24,30,54,"Zn ","   x",-6570.0,400.0,7758.0,7.0,"B+",15130.0,450.0,53.99295,430.0,"None","None",0.0,14.098,15.12,-5.204916
"0",36,19,55,"K  ","   x",-270.0,1000.0,7806.0,18.0,"B-",17850.0,1220.0,54.99971,1070.0,"None","None",17.85,0.0,0.0,-16.194916000000003
" ",35,20,55,"Ca ","   x",-18120.0,700.0,8116.0,13.0,"B-",11460.0,1020.0,54.98055,750.0,"None","None",11.46,-18.872,-17.85,-12.744916000000002
" ",34,21,55,"Sc ","   x",-29580.0,740.0,8310.0,13.0,"B-",12090.0,750.0,54.96824,790.0,"0.12 s","(7/2-)",12.09,-12.482,-11.46,-10.004916000000001
" ",33,22,55,"Ti ","   x",-41670.0,150.0,8516.0,2.8,"B-",7480.0,180.0,54.95527,160.0,"0.52 s","(3/2-)",7.48,-13.112,-12.09,-8.234916000000002
" ",32,23,55,"V  ","   +",-49150.0,100.0,8637.8,1.8,"B-",5960.0,100.0,54.94723,110.0,"6.54 s","(7/2-)",5.9575,-8.502,-7.48,-8.356916000000002
" ",31,24,55,"Cr ","  -n",-55107.5,0.8,8731.884,0.014,"B-",2603.1,0.4,54.940839700000005,0.8,"3.497 m","3/2-",2.6030999999999986,-6.9795,-5.9575,-7.8046159999999976
" ",30,25,55,"Mn ","    ",-57710.6,0.7,8764.988,0.012,"  ","*","*",54.938045100000004,0.7,"stable","5/2-",-0.2311999999999971,-3.6250999999999984,-2.6030999999999986,-7.934115999999997
" ",29,26,55,"Fe ","    ",-57479.4,0.7,8746.56,0.012,"B+",231.21,0.18,54.9382934,0.7,"2.737 y","3/2-",-3.451800000000003,-0.790800000000003,0.2311999999999971,-8.455516
" ",28,27,55,"Co ","    ",-54027.6,0.7,8669.575,0.013,"B+",3451.8,0.4,54.941999,0.8,"17.53 h","7/2-",-8.6916,2.429800000000003,3.451800000000003,-8.211215999999997
" ",27,28,55,"Ni "," +3n",-45336.0,11.0,8497.31,0.2,"B+",8692.0,11.0,54.95133,12.0,"204 ms","7/2-",-13.716,7.669599999999998,8.6916,-7.538916
" ",26,29,55,"Cu ","   x",-31620.0,300.0,8234.0,5.0,"B+",13710.0,300.0,54.96605,320.0,"200 ns","3/2-",-16.7,12.694,13.716,-6.774916
" ",25,30,55,"Zn ","   x",-14920.0,250.0,7916.0,5.0,"B+",16700.0,390.0,54.98398,270.0,"None","None",0.0,15.678,16.7,-5.904916
"0",36,20,56,"Ca ","   x",-13440.0,900.0,8032.0,16.0,"B-",11830.0,1140.0,55.98557,970.0,"10 ms","0+",11.83,0.0,0.0,-12.864916000000001
" ",35,21,56,"Sc ","   x",-25270.0,700.0,8229.0,12.0,"B-",13670.0,730.0,55.97287,750.0,"80 ms","3+",13.67,-12.852,-11.83,-11.494916000000002
" ",34,22,56,"Ti ","   x",-38940.0,200.0,8459.0,3.0,"B-",7140.0,280.0,55.9582,210.0,"0.15 s","0+",7.14,-14.692,-13.67,-8.854916000000001
" ",33,23,56,"V  ","   x",-46080.0,200.0,8573.0,4.0,"B-",9200.0,200.0,55.95053,220.0,"230 ms","3+",9.201199999999996,-8.162,-7.14,-8.144916
" ",32,24,56,"Cr ","   x",-55281.2,1.9,8723.19,0.03,"B-",1628.5,2.0,55.9406531,2.0,"5.94 m","0+",1.6285,-10.223199999999997,-9.201199999999996,-8.241115999999998
" ",31,25,56,"Mn ","    ",-56909.7,0.7,8738.3,0.012,"B-",3695.64,0.21,55.9389049,0.7,"2.5789 h","3+",3.6957000000000044,-2.6505,-1.6285,-7.893315999999994
" ",30,26,56,"Fe ","    ",-60605.4,0.7,8790.323,0.012,"  ","*","*",55.9349375,0.7,"stable","0+",-4.566,-4.717700000000004,-3.6957000000000044,-7.613416
" ",29,27,56,"Co ","   -",-56039.4,2.1,8694.82,0.04,"B+",4566.0,2.0,55.939839299999996,2.3,"77.233 d","4+",-2.1354000000000015,3.544,4.566,-7.758916
" ",28,28,56,"Ni "," -pp",-53904.0,11.0,8642.71,0.2,"B+",2136.0,11.0,55.942132,12.0,"6.075 d","0+",-15.304,1.1134000000000015,2.1354000000000015,-7.996916000000001
" ",27,29,56,"Cu ","   x",-38600.0,140.0,8355.0,2.0,"B+",15300.0,140.0,55.95856,150.0,"200 ms","4+",-12.87,14.282,15.304,-7.104916
" ",26,30,56,"Zn ","   x",-25730.0,260.0,8112.0,5.0,"B+",12870.0,300.0,55.97238,280.0,"0.5 us","0+",-20.99,11.848,12.87,-5.504916000000001
" ",25,31,56,"Ga ","   x",-4740.0,260.0,7723.0,5.0,"B+",20990.0,370.0,55.99491,280.0,"None","None",0.0,19.968,20.99,-4.534916
"0",37,20,57,"Ca ","   x",-7120.0,1000.0,7922.0,18.0,"B-",13570.0,1220.0,56.99236,1070.0,"None","None",13.57,0.0,0.0,-14.144916
" ",36,21,57,"Sc ","   x",-20690.0,700.0,8146.0,12.0,"B-",12860.0,830.0,56.97779,750.0,"None","None",12.85,-14.592,-13.57,-11.114916000000001
" ",35,22,57,"Ti ","   x",-33540.0,460.0,8358.0,8.0,"B-",10640.0,510.0,56.96399,490.0,"0.18 s","",10.65,-13.872,-12.85,-8.064916
" ",34,23,57,"V  ","   x",-44190.0,230.0,8531.0,4.0,"B-",8340.0,230.0,56.95256,250.0,"0.32 s","(7/2-)",8.3341,-11.672,-10.65,-8.994916000000002
" ",33,24,57,"Cr ","   x",-52524.1,1.9,8663.38,0.03,"B-",4962.7,2.6,56.943613,2.0,"21.1 s","3/2-,5/2-,7/2-",4.962700000000004,-9.356099999999998,-8.3341,-8.119015999999998
" ",32,25,57,"Mn ","    ",-57486.8,1.8,8736.72,0.03,"B-",2693.3,1.9,56.9382854,2.0,"85.4 s","5/2-",2.693299999999996,-5.984700000000005,-4.962700000000004,-8.062716000000004
" ",31,26,57,"Fe ","    ",-60180.1,0.7,8770.249,0.012,"  ","*","*",56.935394,0.7,"stable","1/2-",-0.8359000000000014,-3.7152999999999956,-2.693299999999996,-7.320316000000002
" ",30,27,57,"Co ","    ",-59344.2,0.7,8741.858,0.013,"B+",835.9,0.5,56.9362914,0.8,"271.74 d","7/2-",-3.262199999999997,-0.18609999999999854,0.8359000000000014,-7.081215999999996
" ",29,28,57,"Ni ","    ",-56082.0,1.8,8670.9,0.03,"B+",3262.2,1.9,56.9397935,1.9,"35.60 h","3/2-",-8.772,2.240199999999997,3.262199999999997,-7.561615999999997
" ",28,29,57,"Cu ","2n-p",-47310.0,16.0,8503.27,0.27,"B+",8772.0,16.0,56.949211,17.0,"196.3 ms","3/2-",-14.51,7.75,8.772,-7.0899160000000006
" ",27,30,57,"Zn ","   x",-32800.0,100.0,8235.0,2.0,"B+",14510.0,100.0,56.96479,110.0,"40 ms","(7/2-)",-16.9,13.488,14.51,-5.854916
" ",26,31,57,"Ga ","   x",-15900.0,260.0,7925.0,5.0,"B+",16900.0,280.0,56.98293,280.0,"None","None",0.0,15.878,16.9,-4.864916
"0",37,21,58,"Sc ","   x",-15170.0,800.0,8050.0,14.0,"B-",15590.0,1060.0,57.98371,860.0,"None","None",15.6,0.0,0.0,-12.194916000000001
" ",36,22,58,"Ti ","   x",-30770.0,700.0,8305.0,12.0,"B-",9440.0,740.0,57.96697,750.0,"None","None",9.44,-16.622,-15.6,-9.304916
" ",35,23,58,"V  ","   x",-40210.0,250.0,8454.0,4.0,"B-",11630.0,320.0,57.95683,270.0,"None","None",11.62,-10.462,-9.44,-8.414916000000002
" ",34,24,58,"Cr ","   x",-51830.0,200.0,8641.0,3.0,"B-",4070.0,210.0,57.94435,220.0,"7.0 s","0+",4.08,-12.642,-11.62,-8.664916000000002
" ",33,25,58,"Mn ","   +",-55910.0,30.0,8698.0,0.5,"B-",6250.0,30.0,57.93998,30.0,"65.2 s","(4)+",6.243400000000001,-5.102,-4.08,-8.443916000000002
" ",32,26,58,"Fe ","    ",-62153.4,0.7,8792.221,0.012,"B-",-2307.5,1.2,57.9332756,0.8,"stable","0+",-2.3075,-7.265400000000001,-6.243400000000001,-7.645816000000002
" ",31,27,58,"Co ","    ",-59845.9,1.2,8738.947,0.022,"B-",381.8,1.1,57.935752799999996,1.3,"70.86 d","2+",0.38179999999999564,1.2855,2.3075,-6.715416
" ",30,28,58,"Ni ","    ",-60227.7,0.6,8732.041,0.011,"  ","*","*",57.9353429,0.7,"stable","0+",-8.565599999999998,-1.4037999999999957,-0.38179999999999564,-6.400115999999997
" ",29,29,58,"Cu ","   -",-51662.1,1.6,8570.869,0.027,"B+",8565.6,1.4,57.9445385,1.7,"3.204 s","1+",-9.362099999999998,7.543599999999999,8.565599999999998,-6.077515999999998
" ",28,30,58,"Zn ","  --",-42300.0,50.0,8395.9,0.9,"B+",9360.0,50.0,57.95459,50.0,"","0+",-18.31,8.340099999999998,9.362099999999998,-5.514916
" ",27,31,58,"Ga ","   x",-23990.0,210.0,8067.0,4.0,"B+",18310.0,220.0,57.97425,230.0,"None","None",-15.62,17.288,18.31,-4.724916
" ",26,32,58,"Ge ","   x",-8370.0,320.0,7784.0,5.0,"B+",15610.0,380.0,57.99101,340.0,"None","None",0.0,14.598,15.62,-4.224916
"0",38,21,59,"Sc ","   x",-10040.0,900.0,7963.0,15.0,"B-",15170.0,1140.0,58.98922,970.0,"None","None",15.18,0.0,0.0,-12.194916000000001
" ",37,22,59,"Ti ","   x",-25220.0,700.0,8207.0,12.0,"B-",11850.0,760.0,58.97293,750.0,"58 ms","",11.85,-16.202,-15.18,-9.524916000000001
" ",36,23,59,"V  ","   x",-37070.0,310.0,8395.0,5.0,"B-",10820.0,390.0,58.96021,330.0,"75 ms","(5/2-,3/2-)",10.82,-12.872,-11.85,-9.914916000000002
" ",35,24,59,"Cr ","   x",-47890.0,240.0,8565.0,4.0,"B-",7590.0,250.0,58.94859,260.0,"96 us","(9/2+)",7.59,-11.842,-10.82,-8.644916
" ",34,25,59,"Mn ","3p2n",-55480.0,30.0,8680.1,0.5,"B-",5180.0,30.0,58.94044,30.0,"4.59 s","(5/2)-",5.183099999999999,-8.612,-7.59,-8.754916000000001
" ",33,26,59,"Fe ","  -n",-60663.1,0.7,8754.743,0.012,"B-",1565.3,0.6,58.9348755,0.8,"44.495 d","3/2-",1.5653000000000028,-6.205099999999999,-5.183099999999999,-7.980515999999999
" ",32,27,59,"Co ","    ",-62228.4,0.6,8768.013,0.011,"  ","*","*",58.933195,0.7,"stable","7/2-",-1.0727000000000044,-2.587300000000003,-1.5653000000000028,-6.942716000000003
" ",31,28,59,"Ni ","    ",-61155.7,0.6,8736.57,0.01,"B+",1072.76,0.19,58.934346700000006,0.7,"7.6e+4 y","3/2-",-4.7985,0.05070000000000437,1.0727000000000044,-6.1012159999999955
" ",30,29,59,"Cu ","  -p",-56357.2,0.8,8641.981,0.013,"B+",4798.4,0.5,58.939498,0.8,"81.5 s","3/2-",-9.097199999999997,3.7765,4.7985,-4.754515999999999
" ",29,30,59,"Zn ","   -",-47260.0,40.0,8474.5,0.6,"B+",9100.0,40.0,58.94926,40.0,"182.0 ms","3/2-",-13.14,8.075199999999997,9.097199999999997,-4.348916
" ",28,31,59,"Ga ","   x",-34120.0,170.0,8239.0,3.0,"B+",13140.0,170.0,58.96337,180.0,"None","None",-17.12,12.118,13.14,-4.9249160000000005
" ",27,32,59,"Ge ","   x",-17000.0,280.0,7935.0,5.0,"B+",17120.0,330.0,58.98175,300.0,"None","None",0.0,16.098,17.12,-4.504916000000001
"0",39,21,60,"Sc ","   x",-4000.0,900.0,7864.0,15.0,"B-",17650.0,1210.0,59.99571,970.0,"None","None",17.65,0.0,0.0,0.0
" ",38,22,60,"Ti ","   x",-21650.0,800.0,8145.0,13.0,"B-",10930.0,930.0,59.97676,860.0,"?","0+",10.93,-18.672,-17.65,-10.634916
" ",37,23,60,"V  ","   x",-32580.0,470.0,8314.0,8.0,"B-",13930.0,520.0,59.96503,510.0,"None","None",13.92,-11.952,-10.93,-9.734916000000002
" ",36,24,60,"Cr ","   x",-46500.0,210.0,8533.0,4.0,"B-",6670.0,230.0,59.95008,230.0,"0.57 s","0+",6.68,-14.942,-13.92,-9.984916000000002
" ",35,25,60,"Mn ","   +",-53180.0,90.0,8631.6,1.4,"B-",8230.0,90.0,59.94291,90.0,"1.77 s","3+",8.232,-7.702,-6.68,-9.524916000000001
" ",34,26,60,"Fe "," -nn",-61412.0,3.0,8755.83,0.06,"B-",237.0,3.0,59.934072,4.0,"1.5e+6 y","0+",0.237,-9.254,-8.232,-8.555716000000004
" ",33,27,60,"Co ","  -n",-61649.0,0.6,8746.745,0.01,"B-",2823.07,0.21,59.9338171,0.7,"10.467 m","2+",2.8230999999999984,-1.259,-0.237,-7.164216000000003
" ",32,28,60,"Ni ","    ",-64472.1,0.6,8780.757,0.01,"  ","*","*",59.930786399999995,0.7,"stable","0+",-6.128,-3.8450999999999986,-2.8230999999999984,-6.291615999999998
" ",31,29,60,"Cu ","   -",-58344.1,1.7,8665.585,0.028,"B+",6128.0,1.6,59.937365,1.8,"23.7 m","2+",-4.156099999999999,5.106,6.128,-4.729615999999997
" ",30,30,60,"Zn "," -pp",-54188.0,11.0,8583.27,0.18,"B+",4156.0,11.0,59.941827,11.0,"2.38 m","0+",-14.188,3.1340999999999983,4.156099999999999,-2.7089160000000003
" ",29,31,60,"Ga ","   x",-40000.0,110.0,8334.0,2.0,"B+",14190.0,110.0,59.95706,120.0,"70 ms","(2+)",-12.23,13.166,14.188,-3.824916
" ",28,32,60,"Ge ","   x",-27770.0,230.0,8117.0,4.0,"B+",12230.0,260.0,59.97019,250.0,"None","None",-21.37,11.208,12.23,-4.4649160000000006
" ",27,33,60,"As ","   x",-6400.0,600.0,7748.0,10.0,"B+",21370.0,640.0,59.99313,640.0,"None","None",0.0,20.348,21.37,-4.084916
"0",39,22,61,"Ti ","   x",-15650.0,900.0,8046.0,15.0,"B-",13710.0,990.0,60.9832,970.0,"None","None",13.71,0.0,0.0,-10.954916
" ",38,23,61,"V  ","   x",-29360.0,400.0,8258.0,7.0,"B-",12820.0,480.0,60.96848,430.0,"47.0 ms","",12.82,-14.732,-13.71,-11.094916000000001
" ",37,24,61,"Cr ","   x",-42180.0,250.0,8455.0,4.0,"B-",9380.0,340.0,60.95472,270.0,"0.27 s","",9.38,-13.842,-12.82,-11.064916
" ",36,25,61,"Mn ","   x",-51560.0,230.0,8596.0,4.0,"B-",7370.0,230.0,60.94465,240.0,"0.67 s","(5/2)-",7.361,-10.402,-9.38,-9.794916
" ",35,26,61,"Fe ","+n2p",-58921.0,20.0,8703.8,0.3,"B-",3977.0,20.0,60.936745,21.0,"5.98 m","3/2-,5/2-",3.9774000000000016,-8.383,-7.361,-8.821816000000002
" ",34,27,61,"Co "," p2n",-62898.4,0.9,8756.154,0.015,"B-",1322.5,0.8,60.9324758,1.0,"1.650 h","7/2-",1.3225,-4.999400000000001,-3.9774000000000016,-7.836515999999999
" ",33,28,61,"Ni ","    ",-64220.9,0.6,8765.009,0.01,"  ","*","*",60.931056,0.7,"stable","3/2-",-2.237300000000003,-2.3445,-1.3225,-6.465716000000003
" ",32,29,61,"Cu "," p2n",-61983.6,1.0,8715.507,0.016,"B+",2237.3,1.0,60.9334578,1.1,"3.333 h","3/2-",-5.6385999999999985,1.215300000000003,2.237300000000003,-5.064316000000002
" ",31,30,61,"Zn "," +3n",-56345.0,16.0,8610.25,0.27,"B+",5638.0,16.0,60.939511,17.0,"89.1 s","3/2-",-9.255,4.616599999999998,5.6385999999999985,-2.687916
